# 医学用語ルビ辞書（TSV: 用語<TAB>よみ）
# 先頭が # の行は無視。同じ用語が複数ある場合は先の行を優先。
# 形式例:	心筋梗塞	しんきんこうそく
心筋梗塞	しんきんこうそく
心不全	しんふぜん
心房細動	しんぼうさいどう
心室細動	しんしつさいどう
心室頻拍	しんしつひんぱく
心静止	しんせいし
心タンポナーデ	しんたんぽなーで
肺塞栓	はいそくせん
肺塞栓症	はいそくせんしょう
敗血症	はいけつしょう
敗血症性ショック	はいけつしょうせいしょっく
呼吸不全	こきゅうふぜん
急性呼吸窮迫症候群	きゅうせいこきゅうきゅうはくしょうこうぐん
気管内挿管	きかんないそうかん
気管挿管	きかんそうかん
胸骨圧迫	きょうこつあっぱく
昇圧剤	しょうあつざい
昇圧薬	しょうあつやく
降圧	こうあつ
輸液	ゆえき
補液	ほえき
造影剤	ぞうえいざい
心電図	しんでんず
動脈血	どうみゃくけつ
静脈血	じょうみゃくけつ
酸素飽和度	さんそほうわど
意識障害	いしきしょうがい
昏睡	こんすい
痙攣	けいれん
麻痺	まひ
梗塞	こうそく
出血	しゅっけつ
麻酔	ますい
全身麻酔	ぜんしんますい
局所麻酔	きょくしょますい
開腹	かいふく
開胸	かいきょう
縫合	ほうごう
抜管	ばっかん
挿管	そうかん
透析	とうせき
血糖	けっとう
白血球	はっけっきゅう
赤血球	せっけっきゅう
血小板	けっしょうばん
凝固	ぎょうこ
抗凝固	こうぎょうこ
抗生剤	こうせいざい
抗菌薬	こうきんやく
カテコラミン	かてこらみん
アドレナリン	あどれなりん
ノルアドレナリン	のるあどれなりん
ドパミン	どぱみん
ドブタミン	どぶたみん
アミオダロン	あみおだろん
ヘパリン	へぱりん
ワーファリン	わーふぁりん
インスリン	いんすりん
ステロイド	すてろいど
アナフィラキシー	あなふぃらきしー
心筋炎	しんきんえん
心膜炎	しんまくえん
大動脈解離	だいどうみゃくかいり
大動脈瘤	だいどうみゃくりゅう
脳梗塞	のうこうそく
脳出血	のうしゅっけつ
くも膜下出血	くもまくかしゅっけつ
髄膜炎	ずいまくえん
脳炎	のうえん
てんかん	てんかん
糖尿病性ケトアシドーシス	とうにょうびょうせいけとあしどーしす
高血糖	こうけっとう
低血糖	ていけっとう
腎不全	じんふぜん
